Title,Type,Episodes,Episode length,Genres,Age Limit,Studio,Author,Rate,Link
Стальной алхимик: Братство,TV Сериал,64,24 мин,"['Сёнен', 'Экшен', 'Приключения', 'Драма', 'Фэнтези', 'Военное']",R-17,Bones,Hiromu Arakawa,9.1,https://shikimori.me/animes/z5114-fullmetal-alchemist-brotherhood
Врата Штейна,TV Сериал,24,24 мин,"['Драма', 'Фантастика', 'Триллер', 'Психологическое']",PG-13,White Fox,Hiroshi Hamasaki,9.07,https://shikimori.me/animes/z9253-steins-gate
Блич: Тысячелетняя кровавая война,TV Сериал,13,24 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",R-17,Pierrot,Tite Kubo,9.06,https://shikimori.me/animes/41467-bleach-sennen-kessen-hen
Гинтама 4,TV Сериал,51,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Bandai Namco Pictures,Hideaki Sorachi,9.06,https://shikimori.me/animes/z28977-gintama
Атака титанов 3. Часть 2,TV Сериал,10,23 мин,"['Сёнен', 'Экшен', 'Драма', 'Военное']",R-17,Wit,Hajime Isayama,9.05,https://shikimori.me/animes/38524-shingeki-no-kyojin-season-3-part-2
Гинтама 2,TV Сериал,51,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Sunrise,Hideaki Sorachi,9.04,https://shikimori.me/animes/z9969-gintama
Гинтама: Финал,Фильм,Не указано,1 час 44 мин,"['Сёнен', 'Экшен', 'Комедия', 'Драма', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Bandai Namco Pictures,Hideaki Sorachi,9.04,https://shikimori.me/animes/39486-gintama-the-final
Охотник х Охотник (2011),TV Сериал,148,23 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",PG-13,Madhouse,Yoshihiro Togashi,9.04,https://shikimori.me/animes/z11061-hunter-x-hunter-2011
Госпожа Кагуя: в любви как на войне 3,TV Сериал,13,23 мин,"['Комедия', 'Романтика', 'Школа', 'Сэйнэн']",PG-13,A-1 Pictures,Aka Akasaka,9.04,https://shikimori.me/animes/43608-kaguya-sama-wa-kokurasetai-ultra-romantic
Гинтама 3,TV Сериал,13,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Sunrise,Hideaki Sorachi,9.03,https://shikimori.me/animes/z15417-gintama-enchousen
Атака титанов: Финал — Заключительная глава,Спешл,1 / 2,1 час 1 мин,"['Экшен', 'Драма', 'Военное', 'Сёнен']",R-17,MAPPA,Hajime Isayama,9.03,https://shikimori.me/animes/51535-shingeki-no-kyojin-the-final-season-kanketsu-hen
Легенда о героях Галактики,OVA,110,26 мин,"['Драма', 'Фантастика', 'Военное', 'Космос']",R+,K-Factory,Yoshiki Tanaka,9.02,https://shikimori.me/animes/820-ginga-eiyuu-densetsu
Корзинка фруктов: Финал,TV Сериал,13,23 мин,"['Драма', 'Романтика', 'Сверхъестественное', 'Сёдзё']",PG-13,TMS,Natsuki Takaya,9.0,https://shikimori.me/animes/42938-fruits-basket-the-final
Гинтама 5,TV Сериал,12,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Bandai Namco Pictures,Hideaki Sorachi,8.98,https://shikimori.me/animes/z34096-gintama
Блич: Тысячелетняя кровавая война — Прощание,TV Сериал,6 / 13,24 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",R-17,Pierrot,Tite Kubo,8.96,https://shikimori.me/animes/53998-bleach-sennen-kessen-hen-ketsubetsu-tan
Гинтама,TV Сериал,201,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Sunrise,Hideaki Sorachi,8.94,https://shikimori.me/animes/z918-gintama
Форма голоса,Фильм,Не указано,2 часа 10 мин,"['Драма', 'Сёнен']",PG-13,Kyoto,Yoshitoki Ooima,8.94,https://shikimori.me/animes/y28851-koe-no-katachi
Мартовский лев 2,TV Сериал,22,25 мин,"['Драма', 'Сэйнэн']",PG-13,Shaft,Chika Umino,8.93,https://shikimori.me/animes/35180-3-gatsu-no-lion-2nd-season
Кланнад: Продолжение истории,TV Сериал,24,24 мин,"['Драма', 'Романтика', 'Сверхъестественное']",PG-13,Kyoto,Jun Maeda,8.93,https://shikimori.me/animes/z4181-clannad-after-story
Код Гиас: Восставший Лелуш 2,TV Сериал,25,24 мин,"['Экшен', 'Драма', 'Фантастика', 'Меха', 'Военное', 'Супер']",R-17,Sunrise,Gorou Taniguchi,8.91,https://shikimori.me/animes/2904-code-geass-hangyaku-no-lelouch-r2
Гинтама: Финальная арка — Ёродзуя навсегда!,Фильм,Не указано,1 час 50 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Sunrise,Hideaki Sorachi,8.91,https://shikimori.me/animes/z15335-gintama-movie-2-kanketsu-hen-yorozuya-yo-eien-nare
Вайолет Эвергарден. Фильм,Фильм,Не указано,2 часа 20 мин,"['Драма', 'Фэнтези']",PG-13,Kyoto,Kana Akatsuki,8.89,https://shikimori.me/animes/37987-violet-evergarden-movie
История финала 2,TV Сериал,7,22 мин,"['Комедия', 'Детектив', 'Сверхъестественное', 'Вампиры']",R-17,Shaft,ISIN NISIO,8.88,https://shikimori.me/animes/z35247-owarimonogatari-2nd-season
Гинтама 8,TV Сериал,14,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Bandai Namco Pictures,Hideaki Sorachi,8.88,https://shikimori.me/animes/37491-gintama-shirogane-no-tamashii-hen-kouhan-sen
Монстр,TV Сериал,74,24 мин,"['Драма', 'Детектив', 'Триллер', 'Психологическое', 'Сэйнэн']",R+,Madhouse,Naoki Urasawa,8.87,https://shikimori.me/animes/19-monster
Твоё имя,Фильм,Не указано,1 час 46 мин,"['Драма', 'Романтика', 'Сверхъестественное', 'Школа']",PG-13,CoMix Wave Films,Makoto Shinkai,8.84,https://shikimori.me/animes/32281-kimi-no-na-wa
Госпожа Кагуя: в любви как на войне — Первый поцелуй никогда не заканчивается,Фильм,Не указано,1 час 36 мин,"['Комедия', 'Драма', 'Романтика', 'Школа', 'Сэйнэн']",PG-13,A-1 Pictures,Aka Akasaka,8.84,https://shikimori.me/animes/52198-kaguya-sama-wa-kokurasetai-first-kiss-wa-owaranai
Одинокий рокер!,TV Сериал,12,23 мин,"['Комедия', 'Музыка']",PG-13,CloverWorks,Aki Hamaji,8.83,https://shikimori.me/animes/47917-bocchi-the-rock
Сага о Винланде 2,TV Сериал,24,25 мин,"['Сэйнэн', 'Экшен', 'Приключения', 'Драма', 'Исторический']",R-17,MAPPA,Makoto Yukimura,8.83,https://shikimori.me/animes/49387-vinland-saga-season-2
Гинтама 7,TV Сериал,12,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Bandai Namco Pictures,Hideaki Sorachi,8.81,https://shikimori.me/animes/36838-gintama-shirogane-no-tamashii-hen
Ребёнок идола,TV Сериал,11,30 мин,"['Драма', 'Сверхъестественное', 'Сэйнэн']",PG-13,Doga Kobo,Aka Akasaka,8.81,https://shikimori.me/animes/52034-oshi-no-ko
Царство 3,TV Сериал,26,25 мин,"['Сэйнэн', 'Экшен', 'Исторический', 'Военное']",R-17,Pierrot,Yasuhisa Hara,8.81,https://shikimori.me/animes/40682-kingdom-3rd-season
Магическая битва 2,TV Сериал,5 / 23,23 мин,"['Экшен', 'Фэнтези', 'Школа', 'Сёнен']",R-17,MAPPA,Gege Akutami,8.81,https://shikimori.me/animes/51009-jujutsu-kaisen-2nd-season
Моб Психо 100 2,TV Сериал,13,24 мин,"['Экшен', 'Комедия', 'Сверхъестественное', 'Супер']",PG-13,Bones,Yuzuru Tachikawa,8.8,https://shikimori.me/animes/z37510-mob-psycho-100-ii
Атака титанов: Финал,TV Сериал,16,23 мин,"['Сёнен', 'Экшен', 'Драма', 'Военное']",R-17,MAPPA,Hajime Isayama,8.8,https://shikimori.me/animes/40028-shingeki-no-kyojin-the-final-season
Истории ран. Часть 3: Холодная кровь,Фильм,Не указано,1 час 23 мин,"['Экшен', 'Детектив', 'Сверхъестественное', 'Вампиры']",R-17,Shaft,ISIN NISIO,8.79,https://shikimori.me/animes/z31758-kizumonogatari-iii-reiketsu-hen
"Клинок, рассекающий демонов: Квартал красных фонарей",TV Сериал,11,26 мин,"['Экшен', 'Фэнтези', 'Исторический', 'Сёнен']",R-17,ufotable,Koyoharu Gotouge,8.79,https://shikimori.me/animes/47778-kimetsu-no-yaiba-yuukaku-hen
Унесённые призраками,Фильм,Не указано,2 часа 4 мин,"['Приключения', 'Сверхъестественное']",PG,Ghibli,Hayao Miyazaki,8.78,https://shikimori.me/animes/z199-sen-to-chihiro-no-kamikakushi
Волейбол!! 3,TV Сериал,10,24 мин,"['Спорт', 'Школа', 'Сёнен']",PG-13,Production I.G,Haruichi Furudate,8.78,https://shikimori.me/animes/z32935-haikyuu-karasuno-koukou-vs-shiratorizawa-gakuen-koukou
Цикл историй: Второй сезон,TV Сериал,26,25 мин,"['Комедия', 'Детектив', 'Романтика', 'Сверхъестественное', 'Вампиры']",R-17,Shaft,ISIN NISIO,8.77,https://shikimori.me/animes/x17074-monogatari-series-second-season
Первый слэм-данк,Фильм,Не указано,2 часа 4 мин,"['Сёнен', 'Спорт', 'Школа']",PG-13,Toei,Takehiko Inoue,8.77,https://shikimori.me/animes/45649-the-first-slam-dunk
Атака титанов: Финал. Часть 2,TV Сериал,12,23 мин,"['Сёнен', 'Экшен', 'Драма', 'Военное']",R-17,MAPPA,Hajime Isayama,8.77,https://shikimori.me/animes/48583-shingeki-no-kyojin-the-final-season-part-2
Первый шаг,TV Сериал,75,23 мин,"['Спорт', 'Сёнен']",PG-13,Madhouse,George Morikawa,8.76,https://shikimori.me/animes/263-hajime-no-ippo
Ковбой Бибоп,TV Сериал,26,24 мин,"['Экшен', 'Фантастика', 'Космос']",R+,Sunrise,Hajime Yatate,8.75,https://shikimori.me/animes/1-cowboy-bebop
Сага о Винланде,TV Сериал,24,24 мин,"['Сэйнэн', 'Экшен', 'Приключения', 'Драма', 'Исторический']",R-17,Wit,Makoto Yukimura,8.74,https://shikimori.me/animes/37521-vinland-saga
Царство 4,TV Сериал,26,24 мин,"['Сэйнэн', 'Экшен', 'Исторический', 'Военное']",R-17,Pierrot,Yasuhisa Hara,8.74,https://shikimori.me/animes/50160-kingdom-4th-season
Мастер муси: Следующая глава 2,TV Сериал,10,23 мин,"['Сэйнэн', 'Приключения', 'Фэнтези', 'Детектив', 'Повседневность', 'Сверхъестественное', 'Исторический']",PG-13,Artland,Yuki Urushibara,8.73,https://shikimori.me/animes/24701-mushishi-zoku-shou-2nd-season
Сёва-Гэнроку: Двойное самоубийство по ракуго 2,TV Сериал,12,24 мин,"['Дзёсей', 'Драма', 'Исторический']",PG-13,Deen,Haruko Kumota,8.73,https://shikimori.me/animes/33095-shouwa-genroku-rakugo-shinjuu-sukeroku-futatabi-hen
Моб Психо 100 3,TV Сериал,12,23 мин,"['Экшен', 'Комедия', 'Сверхъестественное', 'Супер']",PG-13,Bones,Yuzuru Tachikawa,8.72,https://shikimori.me/animes/50172-mob-psycho-100-iii
Бродяга Кэнсин: Воспоминания,OVA,4,29 мин,"['Сёнен', 'Экшен', 'Драма', 'Романтика', 'Исторический', 'Боевые', 'Самураи']",R-17,Deen,Nobuhiro Watsuki,8.71,https://shikimori.me/animes/z44-rurouni-kenshin-meiji-kenkaku-romantan-tsuioku-hen
Агент времени,ONA,11,23 мин,"['Драма', 'Сверхъестественное']",PG-13,LAN,Haoling Li,8.71,https://shikimori.me/animes/44074-shiguang-dailiren
Восемьдесят шесть. Часть 2,TV Сериал,12,23 мин,"['Экшен', 'Драма', 'Фантастика', 'Меха', 'Военное']",R-17,A-1 Pictures,Asato Asato,8.71,https://shikimori.me/animes/48569-86-part-2
Завтрашний Джо 2,TV Сериал,47,24 мин,"['Драма', 'Спорт', 'Сёнен']",PG-13,Tokyo Movie Shinsha,Tetsuya Chiba,8.71,https://shikimori.me/animes/2921-ashita-no-joe-2
Код Гиас: Восставший Лелуш,TV Сериал,25,24 мин,"['Экшен', 'Драма', 'Фантастика', 'Меха', 'Военное', 'Школа', 'Супер']",R+,Sunrise,Gorou Taniguchi,8.7,https://shikimori.me/animes/1575-code-geass-hangyaku-no-lelouch
Ван-Пис,TV Сериал,1072 / ?,24 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",PG-13,Toei,Eiichiro Oda,8.7,https://shikimori.me/animes/21-one-piece
Мастер муси: Следующая глава,TV Сериал,10,24 мин,"['Сэйнэн', 'Приключения', 'Фэнтези', 'Детектив', 'Повседневность', 'Сверхъестественное', 'Исторический']",PG-13,Artland,Yuki Urushibara,8.7,https://shikimori.me/animes/21939-mushishi-zoku-shou
Реинкарнация безработного: История о приключениях в другом мире. Часть 2,TV Сериал,12,23 мин,"['Драма', 'Фэнтези', 'Этти']",R-17,Bind,Nobuhiro Oosawa,8.7,https://shikimori.me/animes/45576-mushoku-tensei-isekai-ittara-honki-dasu-part-2
Крутой учитель Онидзука,TV Сериал,43,25 мин,"['Сёнен', 'Комедия', 'Драма', 'Школа', 'Работа']",R-17,Pierrot,Tooru Fujisawa,8.69,https://shikimori.me/animes/245-great-teacher-onizuka
Великий из бродячих псов 5,TV Сериал,6 / 11,23 мин,"['Экшен', 'Детектив', 'Сверхъестественное', 'Супер', 'Сэйнэн']",R-17,Bones,Kafka Asagiri,8.69,https://shikimori.me/animes/54898-bungou-stray-dogs-5th-season
Судьб,Фильм,Не указано,2 часа 2 мин,"['Экшен', 'Фэнтези', 'Сверхъестественное']",R-17,ufotable,Kinoko Nasu,8.68,https://shikimori.me/animes/33050-fate-stay-night-movie-heaven-s-feel-iii-spring-song
Случайное такси,TV Сериал,13,23 мин,['Детектив'],PG-13,OLM,Baku Kinoshita,8.68,https://shikimori.me/animes/46102-odd-taxi
Принцесса Мононоке,Фильм,Не указано,2 часа 13 мин,"['Экшен', 'Приключения', 'Фэнтези']",PG-13,Ghibli,Hayao Miyazaki,8.67,https://shikimori.me/animes/164-mononoke-hime
Вайолет Эвергарден,TV Сериал,13,24 мин,"['Драма', 'Фэнтези']",PG-13,Kyoto,Kana Akatsuki,8.67,https://shikimori.me/animes/33352-violet-evergarden
Первый шаг: Новый вызов,TV Сериал,26,23 мин,"['Спорт', 'Сёнен']",PG-13,Madhouse,George Morikawa,8.66,https://shikimori.me/animes/5258-hajime-no-ippo-new-challenger
Ходячий замок,Фильм,Не указано,1 час 59 мин,"['Приключения', 'Драма', 'Фэнтези', 'Романтика']",G,Ghibli,Diana Wynne Jones,8.66,https://shikimori.me/animes/431-howl-no-ugoku-shiro
Созданный в Бездне,TV Сериал,13,25 мин,"['Приключения', 'Драма', 'Фэнтези', 'Детектив', 'Фантастика']",R-17,Kinema Citrus,Akihito Tsukushi,8.66,https://shikimori.me/animes/z34599-made-in-abyss
"Созданный в Бездне: Солнце, вспыхнувшее в Золотом городе",TV Сериал,12,25 мин,"['Приключения', 'Драма', 'Фэнтези', 'Детектив', 'Фантастика']",R-17,Kinema Citrus,Akihito Tsukushi,8.66,https://shikimori.me/animes/41084-made-in-abyss-retsujitsu-no-ougonkyou
Мастер муси,TV Сериал,26,23 мин,"['Сэйнэн', 'Приключения', 'Фэнтези', 'Детектив', 'Повседневность', 'Сверхъестественное', 'Исторический']",PG-13,Artland,Yuki Urushibara,8.66,https://shikimori.me/animes/457-mushishi
Тетрадь дружбы Нацумэ 4,TV Сериал,13,24 мин,"['Драма', 'Повседневность', 'Сверхъестественное', 'Сёдзё']",PG-13,Brain's Base,Yuki Midorikawa,8.65,https://shikimori.me/animes/11665-natsume-yuujinchou-shi
Твоя апрельская ложь,TV Сериал,22,22 мин,"['Сёнен', 'Драма', 'Романтика', 'Музыка', 'Школа']",PG-13,A-1 Pictures,Naoshi Arakawa,8.65,https://shikimori.me/animes/z23273-shigatsu-wa-kimi-no-uso
Госпожа Кагуя: в любви как на войне 2,TV Сериал,12,24 мин,"['Комедия', 'Психологическое', 'Школа', 'Сэйнэн']",PG-13,A-1 Pictures,Aka Akasaka,8.64,https://shikimori.me/animes/40591-kaguya-sama-wa-kokurasetai-tensai-tachi-no-renai-zunousen
Волейбол!! 2,TV Сериал,25,24 мин,"['Спорт', 'Школа', 'Сёнен']",PG-13,Production I.G,Haruichi Furudate,8.63,https://shikimori.me/animes/z28891-haikyuu-second-season
Магическая битва,TV Сериал,24,23 мин,"['Экшен', 'Фэнтези', 'Школа', 'Сёнен']",R-17,MAPPA,Gege Akutami,8.63,https://shikimori.me/animes/40748-jujutsu-kaisen
"Гуррен-Лаганн, пронзающий небеса",TV Сериал,27,24 мин,"['Экшен', 'Приключения', 'Фантастика', 'Меха']",PG-13,Gainax,Hiroyuki Imaishi,8.63,https://shikimori.me/animes/z2001-tengen-toppa-gurren-lagann
Сайт умер...,Тип не указан,Не указано,Не указано,Не указано,Не указано,Не смог,Не смог X2,Не смог,https://shikimori.me/animes/1535-death-note
Невероятное приключение ДжоДжо: Каменный океан. Часть 3,ONA,14,24 мин,"['Экшен', 'Приключения', 'Сверхъестественное', 'Сёнен']",R-17,David,Hirohiko Araki,8.62,https://shikimori.me/animes/53273-jojo-no-kimyou-na-bouken-part-6-stone-ocean-part-3
Созданный в Бездне: Рассвет глубокой души,Фильм,Не указано,1 час 45 мин,"['Приключения', 'Драма', 'Фэнтези', 'Детектив', 'Фантастика']",R-17,Kinema Citrus,Akihito Tsukushi,8.62,https://shikimori.me/animes/z36862-made-in-abyss-movie-3-fukaki-tamashii-no-reimei
Тетрадь дружбы Нацумэ 6,TV Сериал,11,23 мин,"['Драма', 'Повседневность', 'Сверхъестественное', 'Сёдзё']",PG-13,Shuka,Yuki Midorikawa,8.62,https://shikimori.me/animes/34591-natsume-yuujinchou-roku
Пинг-понг,TV Сериал,11,23 мин,"['Драма', 'Спорт', 'Сэйнэн']",PG-13,Tatsunoko,Taiyou Matsumoto,8.62,https://shikimori.me/animes/z22135-ping-pong-the-animation
Атака титанов 3,TV Сериал,12,23 мин,"['Сёнен', 'Экшен', 'Драма', 'Военное']",R-17,Wit,Hajime Isayama,8.62,https://shikimori.me/animes/35760-shingeki-no-kyojin-season-3
"Клинок, рассекающий демонов: Бесконечный поезд. Фильм",Фильм,Не указано,1 час 56 мин,"['Экшен', 'Фэнтези', 'Исторический', 'Сёнен']",R-17,ufotable,Koyoharu Gotouge,8.61,https://shikimori.me/animes/z40456-kimetsu-no-yaiba-movie-mugen-ressha-hen
Исчезновение Харухи Судзумии,Фильм,Не указано,2 часа 41 мин,"['Детектив', 'Фантастика', 'Сверхъестественное', 'Школа']",PG-13,Kyoto,Nagaru Tanigawa,8.61,https://shikimori.me/animes/7311-suzumiya-haruhi-no-shoushitsu
Этот глупый свин не понимает мечту девочки-зайки. Фильм,Фильм,Не указано,1 час 30 мин,"['Драма', 'Романтика', 'Сверхъестественное', 'Школа']",PG-13,CloverWorks,Hajime Kamoshida,8.6,https://shikimori.me/animes/z38329-seishun-buta-yarou-wa-yumemiru-shoujo-no-yume-wo-minai
Семья шпиона,TV Сериал,12,24 мин,"['Сёнен', 'Экшен', 'Комедия']",PG-13,Wit,Tatsuya Endou,8.6,https://shikimori.me/animes/50265-spy-x-family
Киберпанк: Бегущие по краю,ONA,10,25 мин,"['Экшен', 'Фантастика', 'Психологическое']",R+,Trigger,Hiroyuki Imaishi,8.6,https://shikimori.me/animes/42310-cyberpunk-edgerunners
Евангелион 3.0+1.01: Как-то раз,Фильм,Не указано,2 часа 35 мин,"['Экшен', 'Драма', 'Фантастика', 'Триллер', 'Меха', 'Психологическое']",PG-13,Khara,Hideaki Anno,8.6,https://shikimori.me/animes/3786-evangelion-3-0-1-0-thrice-upon-a-time
Первый шаг: Восхождение,TV Сериал,25,22 мин,"['Спорт', 'Сёнен']",PG-13,Madhouse,George Morikawa,8.6,https://shikimori.me/animes/19647-hajime-no-ippo-rising
Мастер муси: Следующая глава — Капли колокольчиков,Фильм,Не указано,47 мин,"['Сэйнэн', 'Приключения', 'Фэнтези', 'Детектив', 'Повседневность', 'Сверхъестественное', 'Исторический']",PG-13,Artland,Yuki Urushibara,8.59,https://shikimori.me/animes/28957-mushishi-zoku-shou-suzu-no-shizuku
Реинкарнация безработного: История о приключениях в другом мире 2,TV Сериал,6 / 12,23 мин,"['Драма', 'Фэнтези', 'Этти']",R-17,Bind,Nobuhiro Oosawa,8.59,https://shikimori.me/animes/51179-mushoku-tensei-ii-isekai-ittara-honki-dasu
Волчьи дети Амэ и Юки,Фильм,Не указано,1 час 57 мин,"['Фэнтези', 'Повседневность']",PG-13,Chizu,Mamoru Hosoda,8.58,https://shikimori.me/animes/12355-ookami-kodomo-no-ame-to-yuki
Невероятное приключение ДжоДжо: Золотой ветер,TV Сериал,39,23 мин,"['Сёнен', 'Экшен', 'Приключения']",R-17,David,Hirohiko Araki,8.58,https://shikimori.me/animes/37991-jojo-no-kimyou-na-bouken-part-5-ougon-no-kaze
Человек-бензопила,TV Сериал,12,24 мин,"['Экшен', 'Фэнтези', 'Сёнен']",R-17,MAPPA,Tatsuki Fujimoto,8.57,https://shikimori.me/animes/44511-chainsaw-man
Гуррен-Лаганн: Звёздный свет,Фильм,Не указано,2 часа 5 мин,"['Экшен', 'Фантастика', 'Меха', 'Космос', 'Супер']",R+,Gainax,Kazuki Nakashima,8.57,https://shikimori.me/animes/z4565-tengen-toppa-gurren-lagann-movie-2-lagann-hen
Берсерк,TV Сериал,25,25 мин,"['Экшен', 'Приключения', 'Драма', 'Фэнтези', 'Ужасы', 'Военное', 'Сэйнэн']",R+,OLM,Kentarou Miura,8.57,https://shikimori.me/animes/33-kenpuu-denki-berserk
Истории ран. Часть 2: Горячая кровь,Фильм,Не указано,1 час 4 мин,"['Экшен', 'Детектив', 'Сверхъестественное', 'Вампиры']",R-17,Shaft,ISIN NISIO,8.57,https://shikimori.me/animes/z31757-kizumonogatari-ii-nekketsu-hen
Тетрадь дружбы Нацумэ 5,TV Сериал,11,23 мин,"['Драма', 'Повседневность', 'Сверхъестественное', 'Сёдзё']",PG-13,Shuka,Yuki Midorikawa,8.57,https://shikimori.me/animes/32983-natsume-yuujinchou-go
Тетрадь дружбы Нацумэ 3,TV Сериал,13,24 мин,"['Драма', 'Повседневность', 'Сверхъестественное', 'Сёдзё']",PG-13,Brain's Base,Yuki Midorikawa,8.57,https://shikimori.me/animes/10379-natsume-yuujinchou-san
Сёва-Гэнроку: Двойное самоубийство по ракуго,TV Сериал,13,26 мин,"['Дзёсей', 'Драма', 'Исторический']",PG-13,Deen,Haruko Kumota,8.57,https://shikimori.me/animes/28735-shouwa-genroku-rakugo-shinjuu
Я хочу съесть твою поджелудочную,Фильм,Не указано,1 час 48 мин,"['Драма', 'Романтика', 'Школа']",PG-13,VOLN,Yoru Sumino,8.56,https://shikimori.me/animes/z36098-kimi-no-suizou-wo-tabetai
Сказ о четырёх с половиной татами,TV Сериал,11,22 мин,"['Комедия', 'Детектив', 'Романтика', 'Психологическое']",R-17,Madhouse,Tomihiko Morimi,8.56,https://shikimori.me/animes/7785-yojouhan-shinwa-taikei
Тетрадь дружбы Нацумэ 2,TV Сериал,13,24 мин,"['Драма', 'Повседневность', 'Сверхъестественное', 'Сёдзё']",PG-13,Brain's Base,Yuki Midorikawa,8.55,https://shikimori.me/animes/5300-zoku-natsume-yuujinchou
Судьб,TV Сериал,12,24 мин,"['Экшен', 'Фэнтези', 'Сверхъестественное']",R-17,ufotable,Gen Urobuchi,8.55,https://shikimori.me/animes/z11741-fate-zero-2nd-season
Корзинка фруктов 2,TV Сериал,25,23 мин,"['Сёдзё', 'Драма', 'Романтика', 'Сверхъестественное', 'Школа']",PG-13,TMS,Natsuki Takaya,8.55,https://shikimori.me/animes/40417-fruits-basket-2nd-season
Евангелион нового поколения: Конец Евангелиона,Фильм,Не указано,1 час 26 мин,"['Безумие', 'Драма', 'Фантастика', 'Меха', 'Психологическое']",R+,Gainax,Hideaki Anno,8.55,https://shikimori.me/animes/32-neon-genesis-evangelion-the-end-of-evangelion
Девичья опера: Свет ревю. Фильм,Фильм,Не указано,2 час,"['Музыка', 'Школа']",PG-13,Kinema Citrus,Tomohiro Furukawa,8.55,https://shikimori.me/animes/40664-shoujo-kageki-revue-starlight-movie
"Мастер муси: Тень, поглотившая Солнце",Спешл,Не указано,45 мин,"['Сэйнэн', 'Приключения', 'Фэнтези', 'Детектив', 'Повседневность', 'Сверхъестественное', 'Исторический']",PG-13,Artland,Yuki Urushibara,8.54,https://shikimori.me/animes/21329-mushishi-hihamukage
Нана,TV Сериал,47,23 мин,"['Драма', 'Романтика', 'Музыка', 'Сёдзё']",R+,Madhouse,Ai Yazawa,8.54,https://shikimori.me/animes/877-nana
Рейтинг короля,TV Сериал,23,22 мин,"['Приключения', 'Фэнтези']",PG-13,Wit,Sousuke Tooka,8.54,https://shikimori.me/animes/40834-ousama-ranking
Идеальная грусть,Фильм,Не указано,1 час 21 мин,"['Безумие', 'Драма', 'Ужасы', 'Психологическое']",R+,Madhouse,Satoshi Kon,8.54,https://shikimori.me/animes/437-perfect-blue
Атака титанов,TV Сериал,25,24 мин,"['Сёнен', 'Экшен', 'Драма', 'Триллер', 'Военное']",R-17,Wit,Hajime Isayama,8.54,https://shikimori.me/animes/16498-shingeki-no-kyojin
Слэм-данк,TV Сериал,101,23 мин,"['Сёнен', 'Спорт', 'Школа']",PG-13,Toei,Takehiko Inoue,8.54,https://shikimori.me/animes/z170-slam-dunk
Волейбол!! К вершине 2,TV Сериал,12,23 мин,"['Спорт', 'Школа', 'Сёнен']",PG-13,Production I.G,Haruichi Furudate,8.54,https://shikimori.me/animes/40776-haikyuu-to-the-top-part-2
Бакуман 3,TV Сериал,25,24 мин,"['Сёнен', 'Комедия', 'Драма', 'Романтика']",PG-13,J.C.Staff,Tsugumi Ohba,8.53,https://shikimori.me/animes/12365-bakuman-3rd-season
Лагерь на свежем воздухе 2,TV Сериал,13,23 мин,['Повседневность'],PG-13,C-Station,Yoshiaki Kyougoku,8.53,https://shikimori.me/animes/38474-yuru-camp-season-2
Врата Штейна 0,TV Сериал,23,23 мин,"['Драма', 'Фантастика', 'Триллер']",PG-13,White Fox,Chiyomaru Shikura,8.53,https://shikimori.me/animes/z30484-steins-gate-0
Граница пустоты 5: Спираль парадокса,Фильм,Не указано,1 час 54 мин,"['Экшен', 'Драма', 'Детектив', 'Романтика', 'Сверхъестественное', 'Триллер']",R-17,ufotable,Kinoko Nasu,8.52,https://shikimori.me/animes/4282-kara-no-kyoukai-movie-5-mujun-rasen
Призрак в доспехах: Синдром одиночки 2,TV Сериал,26,25 мин,"['Сэйнэн', 'Экшен', 'Детектив', 'Фантастика', 'Меха', 'Военное', 'Полиция']",R-17,Production I.G,Masamune Shirow,8.52,https://shikimori.me/animes/801-koukaku-kidoutai-stand-alone-complex-2nd-gig
"Дальше, чем космос",TV Сериал,13,23 мин,"['Приключения', 'Комедия', 'Драма']",PG-13,Madhouse,Atsuko Ishizuka,8.52,https://shikimori.me/animes/35839-sora-yori-mo-tooi-basho
