Title,Type,Episodes,Episode length,Genres,Age Limit,Studio,Author,Rate,Link
Сказание об Арслане: Спецвыпуски,Спешл,8,1 мин,['Комедия'],PG-13,SANZIGEN,Не смог X2,6.71,https://shikimori.me/animes/30953-arslan-senki-tv-arsen-4-koma-gekijou
Малышка Адзуки,TV Сериал,117,24 мин,"['Сёдзё', 'Комедия', 'Романтика', 'Повседневность']",G,Madhouse,Yasushi Akimoto,6.71,https://shikimori.me/animes/1893-azuki-chan
Бейблэйд 2,TV Сериал,51,21 мин,"['Сёнен', 'Экшен', 'Приключения', 'Комедия', 'Фантастика', 'Спорт']",PG,Nippon,Takao Aoki,6.71,https://shikimori.me/animes/1669-bakuten-shoot-beyblade-2002
"Чёрный Джек: Дитя, спустившееся с небес",OVA,Не указано,22 мин,"['Драма', 'Сёнен']",PG-13,Tezuka,Osamu Tezuka,6.71,https://shikimori.me/animes/6246-black-jack-sora-kara-kita-kodomo
Любовные неудачи,TV Сериал,12,23 мин,"['Комедия', 'Романтика', 'Фантастика', 'Этти', 'Гарем', 'Школа']",R+,Passione,Nobuyoshi Nagayama,6.71,https://shikimori.me/animes/51403-renai-flops
Карты будущего: Дружеские бои,TV Сериал,64,24 мин,['Игры'],PG,Xebec,Shigetaka Ikeda,6.71,https://shikimori.me/animes/19067-future-card-buddyfight
Если бы я сломал её флаг OVA,OVA,Не указано,23 мин,"['Комедия', 'Романтика', 'Гарем', 'Школа']",PG-13,Hoods,Touka Takei,6.71,https://shikimori.me/animes/24451-kanojo-ga-flag-wo-oraretara-christmas-sonna-mono-ga-boku-ni-tsuuyou-suru-to-omou-no-ka
Поэзия теней: Семь теней,TV Сериал,6 / ?,23 мин,['Фэнтези'],PG-13,Zexcs,Shigenobu Satou,6.71,https://shikimori.me/animes/54854-shadowverse-flame-seven-shadows-hen
Детское время,TV Сериал,12,24 мин,"['Комедия', 'Драма', 'Этти', 'Школа']",R-17,Diomedéa,Kaworu Watashiya,6.71,https://shikimori.me/animes/2403-kodomo-no-jikan-tv
Этот ужасный и прекрасный мир,TV Сериал,12,24 мин,"['Комедия', 'Драма', 'Романтика', 'Фантастика', 'Этти']",R+,Gainax,Shouji Saeki,6.71,https://shikimori.me/animes/146-kono-minikuku-mo-utsukushii-sekai
Ручная горничная Мэй: Спецвыпуск,Спешл,Не указано,27 мин,"['Комедия', 'Романтика', 'Фантастика', 'Этти', 'Гарем']",PG-13,Ashi,Kiyotaka Nakahara,6.71,https://shikimori.me/animes/2217-hand-maid-may-akiramemasen
Властелин властелинов Рыцарь Рю: Легенда Адьё,OVA,13,30 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Меха']",PG-13,Sunrise,Hajime Yatate,6.71,https://shikimori.me/animes/1849-haou-taikei-ryuu-knight-adeu-legend
Призрак в доспехах: Синдром одиночки — Смеющийся человек. Дни татиком,Спешл,Не указано,2 мин,"['Комедия', 'Фантастика', 'Меха']",PG,Production I.G,Masamune Shirow,6.71,https://shikimori.me/animes/10947-koukaku-kidoutai-stand-alone-complex-the-laughing-man-tachikoma-na-hibi
"Звучи, вадайко!",OVA,Не указано,22 мин,"['Детское', 'Драма']",G,Toei,Не смог X2,6.71,https://shikimori.me/animes/26111-hibike-wadaiko
Багровые осколки,TV Сериал,13,24 мин,"['Сёдзё', 'Фэнтези', 'Романтика', 'Сверхъестественное']",PG-13,Deen,Nobuo Shirahata,6.71,https://shikimori.me/animes/z12461-hiiro-no-kakera
Марафонцы!,TV Сериал,12,23 мин,"['Сёнен', 'Комедия', 'Повседневность', 'Спорт']",PG-13,Actas,Taishi Miyake,6.71,https://shikimori.me/animes/30652-long-riders
Несокрушимая механическая кукла: Спецвыпуски,Спешл,6,5 мин,"['Сэйнэн', 'Экшен', 'Фэнтези', 'Этти', 'Школа']",R+,Lerche,Hitomi Harada,6.71,https://shikimori.me/animes/21415-machine-doll-wa-kizutsukanai-specials
Клуб настольных игр,TV Сериал,12,23 мин,"['Комедия', 'Школа', 'Сёнен']",PG-13,LIDENFILMS,Hiroo Nakamichi,6.71,https://shikimori.me/animes/38276-houkago-saikoro-club
Отряд волшебниц Алисы,OVA,6,22 мин,"['Приключения', 'Комедия', 'Фэнтези']",PG-13,4C,Yoshiharu Ashino,6.71,https://shikimori.me/animes/3991-mahou-shoujo-tai-arusu-the-adventure
Нечто важное для мага,TV Сериал,12,24 мин,"['Сёнен', 'Драма', 'Повседневность']",PG-13,J.C.Staff,Norie Yamada,6.71,https://shikimori.me/animes/273-mahoutsukai-ni-taisetsu-na-koto
У меня мало друзей: Эпизод 0,OVA,Не указано,11 мин,"['Комедия', 'Романтика', 'Школа']",PG-13,AIC,Yomi Hirasaka,6.71,https://shikimori.me/animes/10897-boku-wa-tomodachi-ga-sukunai-yaminabe-wa-bishoujo-ga-zannen-na-nioi
Сага войн Преисподней: Дисгая,TV Сериал,12,24 мин,"['Экшен', 'Комедия', 'Фэнтези', 'Демоны']",PG-13,OLM,Kiyotaka Isako,6.71,https://shikimori.me/animes/z860-makai-senki-disgaea
Клятый коварный кубик OVA,Спешл,Не указано,29 мин,"['Экшен', 'Комедия', 'Сверхъестественное', 'Этти', 'Школа']",PG-13,SILVER LINK.,Hazuki Minase,6.71,https://shikimori.me/animes/12505-c-rinkan-gakkou-confusion
"Удар монстра: К месту, где всё началось",Фильм,Не указано,1 час 44 мин,"['Экшен', 'Фэнтези', 'Игры']",G,LIDENFILMS,Shinpei Ezaki,6.71,https://shikimori.me/animes/33724-monster-strike-the-movie-hajimari-no-basho-e
Городской охотник (2015),OVA,Не указано,9 мин,"['Экшен', 'Комедия', 'Детектив', 'Полиция']",PG-13,Kamikaze Douga,Tsukasa Hojo,6.71,https://shikimori.me/animes/30818-city-hunter-ryou-no-propose
Бюро паранормальных расследований Мухё и Родзи,TV Сериал,12,23 мин,"['Детектив', 'Сверхъестественное', 'Сёнен']",PG-13,Deen,Yoshiyuki Nishi,6.71,https://shikimori.me/animes/37487-muhyo-to-rouji-no-mahouritsu-soudan-jimusho
Обитель зла: Театр шедевров,ONA,3,Не указано,"['Комедия', 'Ужасы']",PG-13,Nippon,Не смог X2,6.71,https://shikimori.me/animes/54782-bio-sekai-meisaku-gekijou
